LP DANIEL PEMBERTON, BABY ROSE & JAPANESE BREAKFAST Materialists (Original Soundtrack) (Iridescent White Vinyl w/ Blue)	Secretly Distribution	1	Daniel Pemberton, Baby Rose & Japanese Breakfast	Materialists (Original Soundtrack)	LP	Iridescent White Vinyl w/ Blue	1	810180991131		147	0.50	0.2268	0.2268	$146.31		release/35147071	810180991131
2XLP DANIEL LOPATIN Marty Supreme (Original Soundtrack) (Clear Vinyl)	Secretly Distribution	2	Daniel Lopatin	Marty Supreme (Original Soundtrack)	2xLP	Clear Vinyl	1	617308017083			1.00	0.4536	0.4536			release/36763195	617308017083
CD SUFJAN STEVENS Illinois	Secretly Distribution	3	Sufjan Stevens	Illinois	CD		2	656605892627			0.25	0.1134	0.2268			release/32084244	656605892627
2XLP SUFJAN STEVENS Illinois	Secretly Distribution	4	Sufjan Stevens	Illinois	2xLP		1	656605892610			1.00	0.4536	0.4536			release/16331040	656605892610
CD THEE MARLOES Di Hotel Malibu	Secretly Distribution	5	Thee Marloes	Di Hotel Malibu	CD		4	349223020229			0.25	0.1134	0.4536				349223020229
LP THEE MARLOES Di Hotel Malibu	Secretly Distribution	6	Thee Marloes	Di Hotel Malibu	LP		1	349223020212			0.50	0.2268	0.2268			release/37385886	349223020212
LP THEE MARLOES Di Hotel Malibu (Indie Exclusive Clear Emerald Vinyl)	Secretly Distribution	7	Thee Marloes	Di Hotel Malibu	LP	Indie Exclusive Clear Emerald Vinyl	1	349223020267			0.50	0.2268	0.2268			release/37385163	349223020267
CD POWDER Powder In Space	Secretly Distribution	8	Powder	Powder In Space	CD		2	700064953129			0.25	0.1134	0.2268			release/13289319	700064953129
12" POWDER Powder In Space	Secretly Distribution	9	Powder	Powder In Space	12"		2	747742391088			0.45	0.2041	0.4082			release/13195142	747742391088
CD WILD NOTHING Gemini	Secretly Distribution	10	Wild Nothing	Gemini	CD		1	817949016821			0.25	0.1134	0.1134			release/2304548	817949016821
CASSETTE WILD NOTHING Nocturne	Secretly Distribution	11	Wild Nothing	Nocturne	Cassette		3	817949015237			0.15	0.0680	0.2041			release/6241687	817949015237
CD MAC DEMARCO Salad Days	Secretly Distribution	12	Mac DeMarco	Salad Days	CD		2	817949019488			0.25	0.1134	0.2268			release/9800884	817949019488
CD MAC DEMARCO This Old Dog	Secretly Distribution	13	Mac DeMarco	This Old Dog	CD		2	817949013165			0.25	0.1134	0.2268			release/10302361	817949013165
CD WILD NOTHING Indigo	Secretly Distribution	14	Wild Nothing	Indigo	CD		1	817949014971			0.25	0.1134	0.1134			release/12505728	817949014971
CASSETTE LCD SOUNDSYSTEM American Dream	Secretly Distribution	15	LCD Soundsystem	American Dream	Cassette		5	829732256642			0.15	0.0680	0.3402			release/10886192	829732256642
12" RIP MAGIC 5words (12" Single)	Secretly Distribution	16	RIP Magic	5words	12"	12" Single	2	829732000894			0.45	0.2041	0.4082				829732000894
CASSETTE MJ LENDERMAN Manning Fireworks	Secretly Distribution	17	MJ Lenderman	Manning Fireworks	Cassette		2	617308081022			0.15	0.0680	0.1361			release/31718669	617308081022
CD DESTROYER Kaputt	Secretly Distribution	18	Destroyer	Kaputt	CD		2	656605134628			0.25	0.1134	0.2268			release/13547219	656605134628
LP DESTROYER Kaputt	Secretly Distribution	19	Destroyer	Kaputt	LP		1	656605134611			0.50	0.2268	0.2268			release/20875921	656605134611
CD SLOWDIVE Slowdive	Secretly Distribution	20	Slowdive	Slowdive	CD		1	656605143224			0.25	0.1134	0.1134			release/37375077	656605143224
LP SLOWDIVE Slowdive	Secretly Distribution	21	Slowdive	Slowdive	LP		2	656605143217			0.50	0.2268	0.4536			release/21004720	656605143217
CD PHOEBE BRIDGERS Stranger In The Alps	Secretly Distribution	22	Phoebe Bridgers	Stranger In The Alps	CD		2	656605144221			0.25	0.1134	0.2268			release/14850454	656605144221
CASSETTE MITSKI Be The Cowboy	Secretly Distribution	23	Mitski	Be The Cowboy	Cassette		1	656605346472			0.15	0.0680	0.0680			release/24253577	656605346472
CD MITSKI Be The Cowboy	Secretly Distribution	24	Mitski	Be The Cowboy	CD		2	656605145020			0.25	0.1134	0.2268			release/33363914	656605145020
CASSETTE PHOEBE BRIDGERS Punisher (Fluorescent Green Cassette)	Secretly Distribution	25	Phoebe Bridgers	Punisher	Cassette	Fluorescent Green Cassette	2	656605373195			0.15	0.0680	0.1361			release/17092467	656605373195
CD PHOEBE BRIDGERS Punisher	Secretly Distribution	26	Phoebe Bridgers	Punisher	CD		2	656605150024			0.25	0.1134	0.2268			release/15497734	656605150024
LP PHOEBE BRIDGERS Punisher	Secretly Distribution	27	Phoebe Bridgers	Punisher	LP		1	656605150017			0.50	0.2268	0.2268			release/35268361	656605150017
CD SLOWDIVE everything is alive	Secretly Distribution	28	Slowdive	everything is alive	CD		3	656605153223			0.25	0.1134	0.3402			release/28131169	656605153223
